Img_name,Band_001,Band_002,Band_003,Band_004,Band_005,Band_006,Band_007,Band_008,Band_009,Band_010,Band_011,Band_012,Band_013,Band_014,Band_015,Band_016,Band_017,Band_018,Band_019,Band_020,Band_021,Band_022,Band_023,Band_024,Band_025,Band_026,Band_027,Band_028,Band_029,Band_030,Band_031,Band_032,Band_033,Band_034,Band_035,Band_036,Band_037,Band_038,Band_039,Band_040,Band_041,Band_042,Band_043,Band_044,Band_045,Band_046,Band_047,Band_048,Band_049,Band_050,Band_051,Band_052,Band_053,Band_054,Band_055,Band_056,Band_057,Band_058,Band_059,Band_060,Band_061,Band_062,Band_063,Band_064,Band_065,Band_066,Band_067,Band_068,Band_069,Band_070,Band_071,Band_072,Band_073,Band_074,Band_075,Band_076,Band_077,Band_078,Band_079,Band_080,Band_081,Band_082,Band_083,Band_084,Band_085,Band_086,Band_087,Band_088,Band_089,Band_090,Band_091,Band_092,Band_093,Band_094,Band_095,Band_096,Band_097,Band_098,Band_099,Band_100,Band_101,Band_102,Band_103,Band_104,Band_105,Band_106,Band_107,Band_108,Band_109,Band_110,Band_111,Band_112,Band_113,Band_114,Band_115,Band_116,Band_117,Band_118,Band_119,Band_120,Band_121,Band_122,Band_123,Band_124,Band_125,Band_126,Band_127,Band_128,Band_129,Band_130,Band_131,Band_132,Band_133,Band_134,Band_135,Band_136,Band_137,Band_138,Band_139,Band_140,Band_141,Band_142,Band_143,Band_144,Band_145,Band_146,Band_147,Band_148,Band_149,Band_150,Band_151,Band_152,Band_153,Band_154,Band_155,Band_156,Band_157,Band_158,Band_159,Band_160
38367,2713.90,2901.14,3039.69,3161.09,3294.99,3426.91,3516.89,3765.64,3956.72,4178.86,4391.64,4613.18,4822.41,5023.80,5247.81,5452.27,5658.74,5888.24,6175.44,6462.73,6761.96,6937.73,7217.14,7478.46,7736.35,7969.06,8206.22,8506.76,8760.64,9002.62,9261.68,9551.95,9880.29,10141.12,10456.90,10767.05,11011.02,11329.49,11643.48,11928.32,12244.93,12539.79,12793.95,13159.29,13454.59,13676.71,14040.25,14369.45,14627.30,14943.76,15237.27,15497.03,15802.25,16178.64,16512.75,16761.13,17049.61,17429.19,17731.99,17936.63,18322.13,18699.62,18854.49,19143.72,19555.13,19809.85,19972.89,20333.87,20590.29,20913.07,21204.85,21403.13,21641.74,22035.79,22310.82,22374.87,22525.40,22870.96,23230.28,23344.60,23479.91,23807.72,24087.50,24264.61,24443.85,24533.64,24739.48,24986.94,25286.63,25613.16,25856.87,26058.94,26369.37,26705.36,26868.83,26945.89,26996.95,27002.17,27443.99,27817.90,27921.18,28008.60,28192.42,28462.72,28728.45,28799.06,28778.29,28809.81,29009.05,29304.86,29512.56,29448.72,29352.55,29491.10,29675.51,29918.10,30068.68,30194.46,30402.79,30573.06,30618.78,30607.09,30615.05,30745.77,31091.83,31308.75,31271.25,31258.37,31175.91,31289.74,31630.82,31958.61,32099.92,32024.21,31754.25,31677.63,31908.17,32235.48,32507.78,32609.00,32635.05,32617.19,32579.50,32614.88,32589.05,32758.96,32814.37,32746.65,32878.17,32957.09,33202.86,33401.66,33458.30,33485.17,33537.36,33654.51,33749.66,34058.22,34314.04,34489.94
38368,2269.82,2395.49,2524.64,2637.93,2748.62,2862.28,2946.07,3150.78,3312.92,3489.94,3670.93,3856.24,4035.57,4208.10,4399.93,4573.81,4753.23,4946.15,5194.17,5434.93,5695.07,5862.16,6095.09,6314.02,6533.50,6744.62,6953.01,7205.53,7423.99,7637.62,7868.34,8115.30,8398.21,8617.26,8890.34,9158.92,9377.61,9648.13,9924.84,10168.25,10437.02,10697.36,10916.11,11230.06,11486.67,11687.82,11996.07,12272.93,12498.36,12777.73,13033.10,13248.67,13512.29,13835.55,14120.75,14334.85,14593.99,14913.97,15167.17,15356.61,15685.15,16012.99,16143.84,16390.03,16748.59,16962.75,17121.05,17417.37,17655.48,17932.93,18180.21,18359.33,18560.55,18897.78,19126.81,19194.47,19329.42,19655.82,19943.84,20038.64,20171.35,20429.46,20675.27,20829.48,20983.98,21085.39,21276.87,21484.63,21746.43,22019.13,22225.49,22389.36,22656.52,22940.66,23093.15,23156.45,23227.25,23287.50,23628.17,23922.57,24015.71,24095.37,24246.21,24483.64,24693.04,24776.59,24769.18,24799.99,24969.99,25206.90,25395.69,25362.48,25307.62,25423.56,25591.04,25778.97,25905.70,26023.99,26180.17,26314.19,26365.90,26356.86,26364.63,26521.93,26783.40,26942.66,26951.45,26918.47,26853.96,26981.82,27256.88,27516.76,27631.33,27582.28,27380.11,27315.79,27539.05,27781.40,28036.62,28133.97,28146.58,28128.41,28118.38,28136.55,28164.89,28325.82,28375.67,28313.53,28379.38,28450.58,28712.92,28889.59,28887.62,28941.71,28991.07,29049.46,29157.31,29386.60,29643.45,29746.10
38369,2974.79,3154.95,3303.12,3452.08,3598.83,3750.31,3839.28,4113.46,4319.35,4557.73,4792.21,5035.69,5268.73,5489.28,5726.22,5949.60,6177.17,6424.74,6740.93,7056.59,7379.95,7571.12,7869.54,8156.24,8444.02,8699.07,8953.90,9274.98,9555.58,9820.64,10101.93,10424.22,10788.56,11067.72,11407.91,11749.86,12013.22,12362.94,12707.78,13017.76,13359.38,13688.60,13963.50,14355.87,14676.76,14932.40,15320.42,15681.15,15965.85,16309.54,16633.70,16909.54,17245.32,17649.47,18020.14,18287.38,18607.23,19021.18,19352.41,19571.05,19996.11,20409.08,20578.67,20883.72,21346.70,21626.87,21799.71,22188.15,22468.18,22844.11,23147.18,23365.24,23621.05,24042.81,24350.81,24416.72,24575.45,24970.16,25361.97,25471.26,25634.79,25976.53,26289.82,26495.82,26680.10,26784.93,27011.15,27286.24,27605.35,27961.25,28228.18,28455.96,28787.81,29137.48,29336.53,29414.50,29480.37,29489.05,29959.16,30368.35,30490.85,30571.37,30757.11,31079.46,31350.02,31455.30,31406.38,31456.52,31684.65,32005.09,32207.73,32162.03,32061.39,32214.34,32420.74,32684.24,32847.18,32981.09,33217.83,33391.19,33450.83,33426.15,33439.17,33589.67,33959.88,34169.32,34165.58,34134.86,34025.49,34185.34,34526.40,34907.47,35047.50,34980.23,34691.00,34583.92,34880.48,35206.15,35489.06,35629.01,35643.38,35649.78,35587.04,35620.36,35632.99,35781.88,35861.42,35785.35,35867.01,35988.91,36286.40,36483.87,36517.01,36557.24,36611.21,36722.09,36895.93,37180.77,37485.36,37634.88
38370,3010.85,3201.87,3360.58,3501.02,3654.00,3800.92,3900.76,4181.38,4395.81,4629.82,4871.95,5113.72,5352.96,5572.95,5823.89,6045.42,6279.95,6532.78,6854.23,7169.95,7508.01,7709.10,8014.70,8305.06,8591.35,8854.26,9113.10,9446.55,9734.88,10003.97,10291.65,10614.69,10988.80,11266.85,11614.56,11965.83,12243.55,12588.77,12943.11,13259.74,13604.80,13942.14,14216.96,14620.24,14951.08,15203.91,15601.45,15973.37,16258.40,16603.52,16936.14,17216.88,17561.86,17975.49,18345.55,18621.79,18949.30,19366.24,19703.97,19924.18,20349.32,20779.02,20948.10,21256.35,21737.22,22005.04,22178.04,22572.67,22868.76,23229.31,23554.57,23777.16,24037.20,24478.45,24782.37,24844.61,25004.06,25397.38,25798.43,25914.34,26069.72,26414.42,26740.67,26938.82,27124.43,27222.41,27445.38,27717.03,28051.90,28426.77,28703.25,28909.30,29271.91,29631.38,29819.45,29901.09,29950.87,29934.88,30428.70,30850.61,30965.42,31046.57,31226.44,31561.19,31867.91,31923.68,31885.62,31916.85,32148.24,32468.74,32702.91,32619.39,32504.52,32680.99,32878.44,33149.71,33314.73,33473.20,33692.46,33866.84,33921.17,33897.99,33904.72,34094.86,34430.48,34691.45,34690.61,34646.34,34547.79,34674.11,35060.16,35436.46,35599.04,35493.70,35186.87,35105.76,35400.03,35756.39,36042.73,36180.30,36207.56,36180.39,36131.36,36143.97,36178.38,36325.92,36425.16,36336.71,36435.87,36574.89,36810.07,37015.76,37067.91,37127.35,37200.50,37275.34,37414.05,37767.84,38034.76,38270.73
38371,2537.65,2694.10,2826.78,2950.08,3072.44,3200.33,3289.67,3525.60,3695.32,3906.32,4102.03,4307.75,4509.16,4697.89,4911.27,5103.00,5300.91,5518.91,5791.14,6062.70,6346.70,6526.09,6787.26,7034.67,7275.55,7505.07,7727.03,8013.26,8250.92,8485.13,8739.95,9013.47,9321.30,9569.47,9863.85,10162.47,10399.68,10701.07,10997.69,11268.71,11566.00,11855.77,12090.13,12433.28,12716.63,12932.13,13269.68,13587.85,13836.75,14129.44,14417.21,14653.51,14947.33,15303.57,15619.53,15854.24,16130.94,16490.14,16775.07,16967.43,17334.74,17694.30,17833.85,18106.68,18511.24,18744.19,18903.31,19235.07,19484.77,19800.63,20075.28,20268.40,20485.06,20858.46,21119.39,21175.21,21316.81,21658.22,21996.53,22093.66,22230.63,22526.83,22788.57,22967.67,23125.53,23217.07,23417.23,23659.19,23938.94,24242.43,24479.77,24658.30,24959.13,25274.75,25429.35,25492.36,25554.81,25571.95,25965.51,26327.78,26424.96,26502.13,26664.50,26930.17,27190.51,27256.08,27216.70,27241.21,27429.77,27695.17,27894.84,27839.49,27766.74,27906.57,28077.39,28298.08,28442.67,28555.30,28756.07,28922.20,28958.51,28944.89,28944.06,29112.98,29402.52,29610.98,29627.10,29573.41,29494.92,29593.61,29929.55,30241.07,30364.38,30301.86,30040.54,29962.54,30236.82,30525.27,30758.81,30878.29,30884.92,30861.70,30833.40,30886.70,30909.31,31068.46,31090.51,31016.13,31142.87,31192.81,31416.50,31599.53,31648.56,31646.25,31754.98,31828.56,31949.36,32215.16,32435.22,32596.36
38372,2507.69,2661.22,2809.31,2915.81,3041.10,3168.47,3255.76,3485.56,3661.19,3867.32,4066.97,4266.61,4466.57,4654.23,4862.92,5053.76,5250.31,5463.22,5735.62,5999.66,6285.60,6461.90,6716.96,6966.43,7204.29,7430.52,7653.23,7934.78,8167.80,8402.67,8653.21,8924.30,9235.67,9476.44,9766.10,10061.16,10298.29,10599.27,10897.39,11163.84,11458.07,11737.88,11974.81,12318.45,12595.34,12819.28,13146.82,13467.78,13706.99,14003.27,14286.97,14524.55,14821.18,15164.01,15482.01,15715.23,15994.11,16348.30,16628.10,16822.64,17179.58,17536.26,17689.74,17954.48,18351.69,18579.41,18743.99,19072.60,19325.68,19623.74,19905.86,20095.73,20318.97,20686.05,20947.24,21005.09,21153.73,21486.15,21812.40,21913.91,22057.57,22347.27,22611.72,22794.58,22945.70,23037.21,23237.89,23476.16,23756.14,24062.75,24300.40,24471.12,24764.03,25068.91,25232.92,25298.84,25360.59,25393.99,25790.92,26116.66,26223.02,26298.53,26462.45,26738.10,26974.68,27050.54,27029.00,27056.79,27252.37,27519.53,27704.07,27650.05,27574.80,27721.32,27887.87,28129.60,28263.77,28378.91,28555.67,28698.01,28774.92,28764.53,28745.02,28914.59,29198.35,29402.55,29397.07,29375.36,29298.81,29408.64,29707.79,30027.99,30156.58,30086.40,29849.46,29758.74,30033.82,30311.27,30566.03,30656.60,30668.91,30635.26,30630.43,30626.76,30674.22,30836.91,30872.15,30820.51,30913.39,31012.68,31202.74,31378.08,31440.95,31464.85,31547.32,31560.08,31772.83,31916.04,32229.91,32337.61
38373,2489.11,2638.92,2770.51,2893.71,3013.18,3142.84,3236.61,3456.34,3631.67,3831.00,4029.22,4233.42,4436.10,4620.04,4828.83,5020.71,5222.83,5435.56,5708.37,5979.16,6261.91,6446.09,6702.04,6948.05,7190.00,7418.93,7645.05,7929.81,8165.77,8394.64,8661.41,8923.48,9241.04,9479.99,9774.64,10077.13,10304.09,10602.82,10903.76,11175.96,11471.99,11769.13,11996.10,12341.48,12636.60,12844.23,13177.91,13506.87,13737.07,14043.89,14345.33,14570.88,14854.92,15210.82,15528.71,15760.22,16030.50,16389.95,16678.43,16856.57,17232.13,17619.23,17747.86,17997.28,18420.10,18665.98,18808.48,19146.85,19403.34,19708.75,19980.10,20160.67,20376.64,20763.33,21041.52,21084.27,21203.72,21573.85,21925.66,22005.41,22143.45,22438.87,22710.09,22889.24,23041.91,23141.42,23360.71,23591.51,23886.56,24200.41,24423.97,24580.85,24852.26,25175.53,25347.91,25386.35,25438.25,25499.17,25908.56,26254.42,26324.17,26388.27,26536.72,26831.04,27093.07,27181.73,27143.58,27139.83,27330.04,27611.92,27825.05,27789.58,27678.83,27826.77,27993.58,28227.31,28364.16,28477.89,28669.16,28815.43,28875.78,28811.43,28815.52,28964.62,29276.34,29473.19,29498.82,29456.05,29341.08,29452.73,29763.03,30119.39,30270.43,30177.75,29892.64,29823.13,30054.97,30358.57,30644.62,30790.20,30760.07,30727.34,30658.58,30716.76,30784.43,30917.10,30944.63,30894.69,30962.34,31051.78,31255.66,31462.51,31487.79,31504.31,31512.52,31620.18,31741.16,32026.63,32259.72,32396.49
38374,2504.87,2640.47,2774.84,2894.74,3026.18,3154.81,3255.10,3480.77,3655.77,3850.62,4051.89,4257.24,4453.80,4648.26,4862.55,5055.92,5267.16,5486.60,5764.18,6034.10,6329.59,6519.29,6785.25,7038.25,7278.99,7519.44,7753.47,8040.28,8281.80,8529.36,8802.63,9063.32,9392.13,9632.31,9938.91,10245.04,10491.16,10793.77,11105.24,11384.20,11687.10,11989.44,12230.78,12580.96,12884.79,13101.10,13445.26,13767.73,14013.67,14330.88,14640.79,14870.54,15167.36,15529.26,15848.91,16091.23,16372.86,16739.50,17039.68,17236.27,17621.32,17991.37,18140.68,18401.80,18821.72,19066.92,19241.98,19576.05,19843.59,20149.89,20429.02,20623.24,20857.95,21241.13,21514.76,21568.00,21711.49,22100.49,22440.05,22537.52,22667.20,22968.48,23252.19,23424.45,23594.08,23708.68,23933.38,24168.91,24474.74,24791.47,24992.15,25177.37,25468.60,25780.50,25948.08,26007.71,26072.08,26194.35,26572.05,26889.88,26978.08,27045.40,27213.14,27510.67,27760.32,27855.08,27808.33,27838.01,28053.18,28323.90,28534.67,28491.12,28416.99,28572.62,28753.91,28977.86,29124.66,29244.20,29405.79,29565.73,29629.12,29602.64,29583.31,29748.59,30054.04,30268.06,30296.24,30233.74,30139.19,30250.61,30576.26,30911.45,31040.29,30967.90,30750.58,30656.51,30906.10,31235.93,31506.43,31642.10,31611.39,31569.40,31527.52,31609.23,31661.62,31843.08,31860.18,31800.06,31878.78,31932.91,32197.47,32414.30,32435.46,32458.98,32468.33,32520.84,32656.80,32932.34,33170.46,33294.45
38375,2829.41,3002.86,3143.70,3290.87,3424.38,3549.96,3624.70,3910.80,4106.49,4336.47,4555.95,4788.80,5002.01,5205.53,5432.61,5637.12,5840.89,6060.68,6358.36,6654.67,6955.77,7109.76,7389.44,7654.20,7911.62,8140.42,8372.70,8676.79,8922.57,9154.40,9400.67,9705.10,10034.95,10288.09,10601.79,10914.69,11153.01,11463.61,11781.06,12060.21,12372.06,12657.41,12899.37,13262.24,13556.07,13785.00,14136.29,14469.33,14724.73,15026.84,15312.87,15562.76,15877.28,16247.86,16587.93,16826.03,17122.05,17488.21,17790.49,17983.39,18363.99,18741.70,18898.66,19175.58,19603.90,19848.55,19989.01,20349.99,20586.32,20932.68,21225.48,21416.38,21641.65,22032.59,22303.96,22358.19,22489.50,22818.41,23187.35,23283.74,23435.49,23746.71,24041.20,24223.71,24388.95,24435.23,24635.98,24881.30,25185.48,25511.77,25783.09,25966.21,26289.31,26621.61,26795.95,26864.90,26885.87,26785.49,27280.13,27721.26,27822.57,27898.86,28081.30,28352.90,28606.23,28690.84,28645.27,28673.83,28861.76,29141.18,29342.80,29287.79,29144.07,29312.33,29463.10,29737.09,29863.20,29995.73,30228.55,30388.52,30445.20,30414.97,30391.90,30555.44,30870.44,31082.49,31085.07,31047.06,30949.26,31043.66,31393.19,31725.37,31852.19,31762.81,31461.10,31350.76,31615.22,31927.46,32159.73,32307.36,32306.02,32318.07,32259.09,32208.44,32190.72,32349.61,32438.91,32346.52,32460.57,32519.99,32771.01,33002.67,33095.58,33147.75,33209.43,33280.89,33398.41,33690.40,33976.85,34116.93
38376,2687.74,2826.54,2980.98,3105.39,3238.40,3386.10,3486.26,3724.76,3910.52,4128.84,4339.15,4553.36,4778.50,4979.81,5215.60,5411.73,5639.07,5872.16,6164.03,6464.19,6764.54,6972.78,7251.20,7522.19,7777.68,8034.55,8275.54,8588.92,8845.93,9087.92,9395.49,9662.59,10014.06,10270.70,10592.06,10920.84,11176.79,11496.57,11834.86,12125.89,12440.59,12768.30,13009.54,13388.77,13722.85,13927.32,14292.74,14665.85,14899.06,15234.87,15588.12,15814.75,16109.90,16500.62,16853.59,17098.40,17388.40,17793.95,18118.04,18286.04,18704.14,19147.69,19267.57,19515.27,19989.49,20269.35,20412.56,20771.52,21075.87,21398.12,21697.43,21887.21,22107.22,22542.72,22867.58,22889.66,22997.37,23416.73,23835.06,23910.11,24015.02,24354.95,24687.00,24871.14,25035.25,25148.64,25375.61,25643.06,25981.20,26329.29,26560.06,26723.63,27017.28,27386.28,27555.06,27583.99,27637.02,27740.48,28194.16,28557.93,28631.38,28669.62,28816.99,29132.48,29452.70,29564.15,29486.68,29455.88,29645.78,29977.74,30234.35,30209.70,30078.94,30211.51,30413.01,30665.87,30824.62,30942.41,31134.32,31289.96,31353.03,31277.38,31250.97,31385.86,31771.36,32048.00,32074.11,31976.36,31839.14,31907.27,32264.64,32736.94,32885.78,32780.95,32492.80,32345.87,32586.53,32968.55,33311.50,33505.25,33431.13,33350.22,33234.66,33307.09,33410.88,33632.82,33613.10,33540.17,33619.16,33706.01,33953.69,34201.32,34194.08,34162.76,34185.48,34182.44,34306.56,34601.53,34986.83,35111.95
38377,2632.70,2772.44,2915.62,3052.47,3186.99,3323.16,3441.21,3668.33,3851.64,4061.81,4275.22,4484.24,4700.94,4905.15,5141.48,5343.93,5576.20,5803.07,6101.81,6397.31,6699.68,6921.61,7199.36,7473.66,7725.23,7993.22,8240.93,8552.33,8814.95,9064.41,9379.17,9642.95,10001.28,10264.59,10581.44,10921.11,11179.27,11508.09,11839.89,12137.00,12464.05,12793.18,13034.92,13420.77,13757.30,13969.92,14342.08,14711.16,14946.72,15286.41,15653.11,15885.67,16184.89,16580.65,16928.53,17176.23,17472.76,17891.78,18210.06,18387.98,18813.05,19252.68,19384.94,19628.78,20112.24,20400.38,20550.69,20911.96,21212.19,21532.86,21836.66,22041.69,22253.78,22699.26,23014.72,23046.92,23167.38,23610.87,24009.07,24091.04,24219.64,24568.54,24885.52,25076.94,25253.90,25392.80,25639.69,25913.78,26264.00,26610.82,26856.30,27020.08,27328.42,27691.92,27872.51,27913.52,27966.19,28145.25,28574.45,28912.37,28985.43,29028.03,29194.37,29518.90,29839.56,29968.21,29892.32,29856.67,30074.35,30388.79,30646.76,30609.79,30511.90,30653.75,30849.67,31119.68,31268.71,31372.62,31562.55,31744.17,31799.46,31731.07,31712.80,31881.19,32237.42,32504.98,32528.31,32434.14,32266.92,32391.71,32748.17,33207.98,33389.47,33273.37,32970.29,32858.30,33106.70,33450.44,33818.32,33994.67,34004.92,33867.22,33798.19,33860.23,33934.33,34155.46,34169.59,34070.98,34160.79,34271.16,34482.83,34702.94,34726.97,34670.65,34729.99,34770.12,34849.04,35165.46,35452.08,35635.74
38378,2567.57,2708.72,2848.83,2972.41,3104.26,3237.44,3338.19,3574.53,3749.39,3954.84,4162.64,4370.51,4578.01,4767.12,4994.16,5183.91,5401.63,5621.84,5902.93,6187.59,6474.27,6681.31,6939.20,7205.62,7438.96,7694.95,7926.13,8227.27,8470.33,8699.34,8998.48,9250.72,9585.84,9832.93,10130.91,10457.19,10695.02,11007.35,11330.65,11601.55,11903.07,12224.69,12442.26,12809.78,13138.49,13329.01,13681.09,14031.47,14258.98,14568.67,14910.25,15134.99,15408.56,15790.45,16119.46,16354.96,16635.09,17018.16,17335.36,17494.45,17882.63,18324.51,18436.58,18658.06,19125.51,19390.12,19523.54,19867.44,20149.17,20458.83,20742.93,20931.12,21131.52,21555.83,21876.86,21886.54,21976.50,22393.51,22797.64,22865.93,22959.52,23284.49,23581.41,23758.42,23906.72,24021.68,24232.99,24481.63,24785.63,25122.15,25332.97,25473.99,25748.67,26098.92,26258.96,26293.38,26316.11,26438.81,26849.10,27218.31,27258.92,27294.50,27429.61,27749.62,28047.06,28161.60,28083.78,28042.53,28240.55,28546.02,28787.82,28754.98,28640.12,28759.96,28944.25,29186.09,29354.27,29466.10,29643.08,29800.03,29849.53,29780.65,29745.01,29893.97,30256.34,30506.31,30524.53,30460.77,30297.87,30362.91,30728.66,31137.99,31340.73,31218.95,30932.65,30759.73,31001.73,31358.59,31690.42,31877.89,31841.42,31753.48,31670.95,31679.10,31768.61,31967.23,31991.46,31906.22,31994.98,32058.53,32291.96,32518.57,32523.90,32498.83,32428.02,32504.48,32638.27,32932.33,33204.73,33424.38
38379,2457.06,2607.49,2736.37,2847.83,2980.14,3094.88,3168.84,3404.21,3571.71,3766.06,3963.82,4165.14,4353.89,4533.59,4734.80,4912.80,5104.66,5305.20,5566.92,5826.46,6093.63,6252.07,6496.21,6737.23,6964.27,7179.08,7388.96,7659.63,7888.42,8107.76,8338.37,8603.51,8902.88,9136.10,9415.21,9704.09,9917.37,10195.87,10489.21,10740.78,11027.05,11290.40,11514.93,11840.23,12110.74,12321.30,12636.43,12935.45,13170.65,13448.25,13717.85,13947.42,14221.19,14561.78,14859.45,15077.91,15346.34,15683.99,15958.92,16135.44,16482.32,16836.29,16965.36,17221.51,17603.08,17830.82,17974.13,18288.97,18524.78,18822.20,19081.59,19271.88,19477.76,19833.87,20082.73,20133.94,20264.25,20588.36,20910.48,21001.70,21133.14,21416.48,21661.12,21841.30,21991.96,22072.04,22263.98,22485.30,22761.66,23060.47,23280.38,23459.87,23741.16,24044.48,24191.16,24262.66,24310.07,24310.06,24714.77,25059.78,25141.73,25207.10,25379.23,25644.56,25872.82,25944.66,25911.39,25935.32,26115.57,26377.44,26567.21,26512.31,26417.32,26568.96,26740.03,26956.75,27076.63,27190.25,27373.81,27522.23,27574.79,27553.06,27557.70,27703.97,27983.76,28189.59,28197.53,28148.11,28063.04,28190.43,28477.26,28780.41,28894.34,28822.67,28578.96,28509.14,28759.37,29024.68,29265.67,29384.42,29401.60,29366.79,29343.84,29347.64,29387.73,29536.11,29584.40,29508.16,29581.33,29721.02,29915.20,30088.30,30143.80,30159.59,30215.31,30290.42,30477.16,30694.87,30972.80,31076.26
38380,2418.73,2568.55,2694.86,2810.73,2924.33,3041.50,3114.28,3341.83,3507.93,3705.33,3895.96,4094.59,4276.22,4451.04,4646.55,4825.34,5000.98,5198.47,5452.37,5707.00,5965.54,6111.77,6352.70,6582.92,6806.35,7012.96,7213.51,7478.83,7697.34,7905.31,8128.19,8383.36,8678.18,8899.17,9172.64,9443.46,9653.40,9922.50,10204.83,10453.32,10722.41,10980.87,11197.67,11512.53,11770.84,11974.59,12278.53,12566.82,12790.20,13063.92,13319.06,13543.90,13811.23,14137.68,14429.96,14639.14,14896.13,15221.98,15483.30,15665.09,15994.61,16331.86,16462.50,16710.62,17074.69,17294.62,17433.85,17738.59,17959.13,18254.72,18507.40,18682.67,18887.68,19225.08,19470.99,19522.74,19632.97,19948.53,20266.06,20352.25,20476.68,20748.04,21001.05,21157.92,21310.48,21374.15,21553.09,21767.42,22024.19,22310.71,22531.40,22694.94,22979.72,23268.05,23413.55,23477.49,23515.95,23492.56,23891.13,24240.06,24326.77,24395.37,24549.13,24804.32,25034.80,25099.09,25063.97,25090.28,25253.29,25515.26,25701.74,25643.60,25551.14,25687.76,25837.90,26059.98,26179.44,26304.86,26486.73,26624.06,26683.93,26642.69,26643.16,26792.60,27073.80,27258.08,27262.31,27223.39,27133.38,27254.23,27521.38,27828.24,27937.21,27868.60,27636.68,27550.32,27793.84,28054.63,28276.01,28391.89,28381.27,28417.85,28345.37,28374.07,28368.03,28511.36,28562.31,28487.65,28584.04,28690.12,28877.86,29064.80,29128.22,29104.37,29210.43,29285.26,29357.37,29634.10,29875.82,29976.99
38381,2780.35,2952.51,3093.51,3225.69,3349.97,3492.83,3565.04,3835.94,4023.96,4246.99,4465.40,4695.84,4906.62,5111.24,5331.88,5532.91,5743.44,5965.52,6265.61,6547.15,6852.56,7016.71,7294.26,7562.60,7815.28,8050.33,8281.82,8588.98,8837.23,9076.05,9329.86,9624.65,9954.86,10215.60,10527.16,10844.11,11085.17,11395.33,11717.44,12003.09,12313.65,12612.71,12856.13,13217.94,13515.69,13742.82,14103.12,14441.53,14694.70,14997.61,15302.21,15556.45,15860.45,16238.80,16573.39,16817.26,17113.15,17484.05,17791.74,17987.90,18374.54,18767.05,18908.97,19193.03,19616.59,19865.10,20027.60,20383.17,20639.47,20975.47,21270.78,21465.82,21696.83,22097.53,22369.89,22417.58,22562.56,22916.84,23289.37,23391.02,23535.16,23842.29,24136.03,24319.19,24482.53,24564.18,24770.06,25018.42,25309.62,25657.11,25914.63,26092.24,26410.13,26751.28,26922.65,26989.39,27023.70,27011.44,27464.85,27881.28,27981.63,28062.06,28224.48,28530.43,28787.55,28857.30,28834.40,28838.98,29056.55,29347.57,29549.84,29482.37,29377.57,29541.47,29709.47,29948.42,30111.22,30250.21,30453.55,30617.09,30662.51,30635.26,30644.83,30810.32,31117.53,31339.08,31341.34,31304.73,31189.18,31317.73,31647.81,31993.70,32160.94,32036.44,31777.08,31657.86,31933.66,32237.71,32528.17,32652.00,32655.30,32648.58,32581.72,32610.30,32628.98,32788.21,32850.69,32775.64,32857.77,32944.04,33210.59,33428.60,33515.97,33508.97,33597.32,33705.11,33804.21,34115.22,34361.20,34504.46
38382,2557.33,2704.72,2824.21,2951.95,3078.67,3214.37,3314.56,3540.05,3719.72,3926.03,4124.79,4328.71,4535.11,4727.90,4942.72,5136.94,5345.51,5563.08,5846.31,6120.55,6412.66,6597.74,6867.94,7119.20,7370.83,7606.80,7838.85,8126.52,8372.80,8615.25,8883.76,9157.75,9479.82,9727.41,10030.99,10332.69,10579.97,10891.96,11197.50,11479.16,11777.40,12078.43,12326.17,12677.50,12969.21,13197.16,13542.29,13866.50,14117.10,14424.74,14723.59,14966.80,15267.47,15639.89,15951.05,16198.81,16483.82,16854.48,17143.72,17350.88,17730.68,18090.04,18245.33,18528.24,18931.41,19178.01,19352.03,19681.92,19957.51,20255.70,20546.35,20738.56,20981.20,21359.88,21624.34,21682.87,21833.28,22202.19,22538.84,22653.11,22782.83,23089.57,23363.42,23545.65,23709.25,23826.16,24038.10,24269.81,24568.79,24876.71,25109.06,25291.16,25599.08,25920.82,26076.39,26158.28,26211.29,26288.64,26675.45,27004.11,27115.91,27195.45,27354.10,27657.28,27895.20,27980.60,27948.87,27989.41,28181.26,28463.74,28651.14,28620.22,28557.87,28702.02,28880.21,29102.42,29245.48,29368.33,29536.46,29699.49,29770.47,29755.49,29750.96,29924.71,30221.76,30425.60,30428.07,30390.32,30306.21,30442.60,30738.26,31083.36,31225.77,31140.04,30908.09,30844.35,31097.43,31408.57,31664.35,31780.70,31779.90,31761.01,31741.61,31763.70,31823.22,31977.30,32033.79,31957.57,32058.71,32134.35,32384.44,32567.48,32655.83,32628.77,32692.64,32733.83,32887.21,33139.85,33372.18,33568.69
